xSNoRow,xShortTitle:,Reading,xBookRead,SleepRead,Confident,Chivalry,xGenderEqWestern,MaleDominated,MaleChauvanist,ExamMult,ExamExt,ReadComics,xComicsRead,JobNoWorry,JobByCollege,Inquisitive,Debate,WriteNotes,ClassTooMany,BigWeekend,TeacherListen,NotMarks,GrpStudy,TeachersEq,ActivityTooMany,Conservative,TechNeeded,OldDrs,ENews,PeerPres,TeacherPest,EngLit,EnglishJob,Listening,Writing,ActivityOpt,Gender,PostMBA,ClassBig,Vernacular,TownSmall,FriendsMany,FriendsTrue,Movies,StudiesHigher,ExcelExpert,Blogger,xBlogIs,Webpage,xWebpageIs,WriteDiary,Meditate,Hobbies,MBASad,MBAHappy,FoodHealthy,xFoodFav,SpkEmpowered,TeacherEmpower,ProudParent,ProudI,Degree,,
#,SnoColumns,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,,
#,Timestamp,Reading is important for MBA,My favorite books are,I sleep late and read at night,I can change the world with my work,"In a full bus, a boy should give seat to a girl standing?",Gender equality is for the West,"MBA is more important for boys, because they must get a job and support the family?",Boys do better in Math than girls,Multiple choice exams are easier than essay exams,External exams are better than internal exams?,Reading comics helps in MBA comprehension,I have read following comics,"No matter what marks I get, placement is guaranteed",It is the college's responsibility to do placements.,We should ask more questions in class,Seminars must include debate at the end,We must write notes in all classes,We have too many classes and not enough time to think,Saturdays should be holiday so we can go home,We can talk to teacher anytime during office timings,I worry about placements more than marks,I study in a group after college hours,We are treated equally by college/teachers,There are too many activities and not enough interesting course material,Our college needs to be more liberal,"Our course material is outdated, we need modern technology like tablets to learn.",Dress code in college is old fashioned,I read google news every morning,I learn best from fellow student presentations.,"Teachers don't listen to us, they think we are trouble",English Literature should be taught in MBA,Speaking English is necessary for placements,Listening is more important than speaking English,Writing is more important than reading,Extra curricular activities must be optional,My gender,My dream during MBA,I like big classes,"I studied in my mother tongue (Kannada, Tulu, Konkani, etc)",I grew up in a small town like Karkala,I have lots of Friends in college,College friends are true friends,I love watching movies after classes to relax,I want to study more after MBA,I know Excel well,I write a blog,my blog is here:,I have a web page,my webpage is here,I write a diary to organize my thoughts,I meditate to calm my mind and focus attention,I have hobbies outside of studies to keep me busy,MBA is depressing,MBA classes give me joy and hope,I eat healthy food in NITTE,My favorite foods at college are,I spoke on stage and it was empowering,Teachers empower me to do great things,My parents are more proud of my MBA than me.,I am proud to be learning MBA,"Before MBA, I studied",,
64,2014/10/26 10:51:18 PM GMT+5:30,5,"Five point someone 
First love just like the lat one
I too had a lovestory
Revolution 2020",5,5,1,No . it is for all,1,3,5,3,5,"Balamangala ,tunturu, gilivindu",5,1,5,5,5,5,5,3,3,5,3,5,5,5,5,3,5,4,5,5,2,3,5,Girl,Good Job,2,4,5,3,5,5,5,3,4,pratheekshashetty.blogspot.com,2,,3,5,5,2,5,3,"Dosa,paneer curry, maggi",4,4,3,5,BCom,,
65,2014/10/26 10:52:38 PM GMT+5:30,4,"Motivation,personal interviw,2states",5,4,3,,2,3,5,5,4,Chandamama,2,4,4,5,5,4,5,3,4,5,4,2,4,4,4,4,4,2,4,4,4,3,4,Girl,Good Job,2,2,5,5,5,5,3,4,4,poojasamanth.4.blogger.com,4,,3,4,4,2,4,2,"Rice,curd",4,4,5,4,BBM,,
66,2014/10/26 11:39:04 PM GMT+5:30,3,,2,1,2,,1,2,1,2,2,Chandamama ,1,2,4,2,2,3,3,2,4,3,5,5,3,3,3,4,3,3,2,3,3,2,4,Girl,Good Job,1,3,3,4,3,3,4,3,2,,3,,3,3,3,3,3,3,"We need a good canteen facility , please do something",3,3,1,5,Engg,,
67,2014/10/27 8:34:46 AM GMT+5:30,4,"Dan Brown's Books
Jeffery Archers Books
Pigeon Project Irving Wallace
Tom Clancy's Books",1,5,5,I Do Not agree,1,3,5,5,3,"Amar Chitra Katha
Tinkle
DC
Marvel
",5,1,5,1,1,5,5,1,,1,1,5,5,5,5,5,1,5,5,3,5,1,5,Boy,Start my business,1,1,5,1,1,5,5,3,3,,3,,2,5,5,5,1,3,College Food Sucks,5,1,1,5,BCom,,
68,2014/10/27 8:50:05 AM GMT+5:30,2,2 states,3,2,1,,1,2,4,3,3,,2,2,4,4,3,3,5,3,2,3,4,2,4,2,3,2,5,2,5,5,4,4,4,Boy,Good Job,2,4,5,4,3,5,2,2,2,,2,,2,2,4,2,4,4,"Chicken
Fried rice
Dal ",3,4,4,5,BBM,,
69,2014/10/27 5:44:26 PM GMT+5:30,3,,4,3,4,,3,3,3,3,4,TINKLE,3,1,4,4,4,3,1,4,3,4,4,3,2,3,3,4,3,2,4,4,4,4,4,Boy,Good Job,5,2,2,4,3,2,4,3,4,,2,,4,4,4,3,4,3,"RICE,DAL,ROTI.CHICKEN.EGG FRY
",4,4,2,4,BBM,,
70,2014/10/27 7:17:04 PM GMT+5:30,4,Two states- chethan bagat,4,3,4,"No, even we should give equality.",4,3,2,5,3,"tinkle, archies",3,2,4,4,4,2,3,5,3,3,5,3,3,2,3,5,4,1,4,5,4,4,2,Boy,Good Job,3,1,5,5,5,4,4,4,3,,2,,4,3,4,3,5,5,chicken,4,4,3,5,BBM,,
71,2014/10/27 8:32:44 PM GMT+5:30,5,"3 mistakes of my life 
Half girlfriend 
2 states 
Goosebumps 
One Night at the call centre ",3,4,5,No,1,3,5,3,5,Peanut ,5,1,5,5,5,1,1,5,1,5,5,1,1,5,5,5,3,4,5,5,5,1,1,Girl,Pass MBA,5,5,5,5,3,4,1,3,4,music ,1,,5,3,4,5,2,5,Chicken ,5,5,1,5,BCom,,
72,2014/10/28 8:13:19 AM GMT+5:30,3,Health in your hands,3,2,4,"No in India too, we should have gender equality.",3,3,2,3,3,,3,2,5,4,2,4,3,3,4,4,3,4,3,4,3,4,4,3,3,5,4,,,Boy,,,,,5,2,1,5,3,5,loydpinto.blogspot.in,2,,2,5,4,4,5,4,"Dosa, poori, idli, etc.",4,4,4,4,BCom,,
73,2014/10/28 3:36:06 PM GMT+5:30,4,quran...revolution 2020 and cooking recipe books ,3,3,5,no,1,3,5,5,5,tinkle,3,1,5,5,5,5,1,5,1,5,3,3,1,5,5,5,5,5,5,5,5,1,1,Boy,Pass MBA,1,5,1,5,3,5,1,3,5,cooking,1,,5,1,1,5,1,1,chicken fry,4,5,1,5,BBM,,
74,2014/10/28 3:52:30 PM GMT+5:30,2,"2 states,one night at the call centre",5,2,5,no. I dont agree with this. ,1,1,5,5,3,tinkle,2,1,5,4,5,4,4,5,4,5,5,3,4,5,4,3,3,1,5,5,3,2,4,Girl,Good Job,1,1,4,3,5,5,1,3,5,,1,,3,1,2,4,3,3,chicken,4,4,4,4,BCom,,
75,2014/10/28 7:27:46 PM GMT+5:30,3,,3,4,3,,3,3,3,3,3,mad,3,2,3,2,3,4,3,3,2,4,3,3,3,1,4,3,4,3,3,4,3,3,3,Boy,Good Job,3,1,1,4,3,4,3,3,4,abhishekjkshim,,,3,3,4,,3,3,rice,4,3,3,5,BBM,,
76,2014/10/30 12:45:42 AM GMT+5:30,4,,4,5,5,,3,4,3,3,4,,3,3,5,4,3,4,5,5,3,1,2,4,5,5,5,2,3,3,3,1,4,3,3,Boy,Start my business,4,4,5,2,1,4,4,3,2,,2,,3,4,5,3,3,2,,2,2,3,4,BBM,,
77,2014/10/31 10:23:50 AM GMT+5:30,3,The monk who sold ferrari,3,4,3,No,2,3,4,4,1,No,3,3,3,4,2,4,4,4,1,3,3,4,4,4,3,3,3,3,3,4,4,3,3,Boy,Start my business,2,3,2,4,3,3,4,2,3,,1,,1,3,3,3,4,1,Rice,4,1,1,4,BCom,,
78,2014/11/04 7:45:01 AM GMT+5:30,4,"Isobel' Wedding
The Broker 
The Client",4,3,1,,1,3,3,3,5,Tinkle,3,2,5,3,5,4,5,3,3,3,4,3,5,4,5,3,3,2,3,5,3,3,4,Girl,Good Job,1,1,5,3,2,5,4,3,4,,,,4,3,3,3,4,3,,3,4,4,4,BCom,,
79,2014/11/18 9:38:32 AM GMT+5:30,5,The world heroes,4,3,3,,4,4,4,5,5,,2,3,5,5,5,3,5,5,3,4,5,4,4,3,1,3,5,2,5,5,3,5,4,Girl,Good Job,4,5,5,5,5,5,3,3,5,manasasm94.blogspot.com,1,,5,5,4,3,4,4,"Rice,dosa",4,5,2,5,BBM,,
80,2014/11/18 10:10:16 AM GMT+5:30,3,,4,3,,,1,3,2,3,4,,2,1,4,4,5,3,1,3,,5,2,4,4,3,3,3,3,2,4,4,2,3,2,Girl,,3,1,2,3,3,3,4,4,4,,,,3,4,3,2,4,2,,4,4,,4,BSc,,
81,2014/11/18 10:54:30 AM GMT+5:30,5,"The hunger games
Harry potter",4,4,5,"Who have ability to do MBA 
To give equal importance to both boys and girls",1,2,3,4,5,"DC, Ramayana etc.",3,2,5,5,5,3,2,5,4,4,4,4,2,5,1,4,4,2,5,5,1,3,2,Girl,Good Job,3,3,4,4,2,2,3,4,4,deepashreekarkala,2,,4,3,4,2,4,4,"Samosa, idli vada sambar, bans etc.",4,4,4,5,BBM,,
82,2014/11/18 10:54:32 AM GMT+5:30,4,Half girlfriend,4,3,5,,1,1,1,5,5,,1,1,5,5,5,5,5,1,1,5,5,5,1,5,5,1,3,1,5,5,5,1,5,Girl,Pass MBA,2,2,5,2,5,4,2,2,4,,4,,4,2,4,2,5,2,Chicken,2,4,4,4,BBM,,
83,2014/11/18 11:34:42 AM GMT+5:30,5,"Half girl friend- Chethan bhagath

Wings of fire- Abdul kalam

Beautiful stories from shakespeare.",4,5,4,Gender equality should be there in every region.  Equal importance should be given to both men & women.,1,1,4,5,4,"Tinkle, chandamama",4,3,5,5,5,4,3,4,5,4,5,3,3,5,3,5,4,3,5,5,1,3,5,Girl,Good Job,5,1,5,5,3,5,5,5,3,amruthajrao7.blogspot.in,1,,2,5,5,1,5,3,,5,5,5,5,BBM,,
84,2014/11/18 11:47:29 AM GMT+5:30,2,LOVE LIKE THIS,1,3,4,NO ,1,1,3,3,1,Tinkle,3,2,4,5,3,5,5,5,2,1,5,4,5,4,4,3,1,2,3,5,3,1,4,Girl,Good Job,1,1,1,3,3,5,1,3,4,fernandesjoylin.blogspot.com,4,fernandesjoylin24@gmail.com,3,1,1,5,1,1,Nothing is favourite,5,3,5,3,BCom,,
85,2014/11/18 12:48:44 PM GMT+5:30,4,,2,3,5,,1,,3,1,5,,3,3,5,5,5,4,3,5,5,5,5,2,5,2,1,4,4,1,5,5,5,5,4,Girl,Good Job,2,5,5,2,4,5,5,5,5,,1,,3,5,5,4,3,2,Rice,5,4,,5,BBM,,
86,2014/11/18 2:44:19 PM GMT+5:30,5,,4,5,4,"There should be equality,There should not gender bias. Gender equity does not only applicable for the West it should be followed everywhere.",4,3,2,3,5,,2,1,5,4,4,5,4,2,4,4,5,4,4,5,4,4,4,4,3,5,5,5,4,Boy,Good Job,4,4,5,2,2,4,4,4,4,Android operating system,1,,3,3,3,4,3,5,"Egg fry, Bread omlet,chicken fried rice,curd rice, Gobi, kabab.",4,4,4,5,BCom,,
87,2014/11/18 4:50:14 PM GMT+5:30,3,"1. One night at the call centre
2.Death of a salesman
3.Ramayana
4.Mahabharatha
5.Textbooks",2,4,4,We should respect woman,1,3,2,2,4,"Chandamama
Tunturu
Tushara",3,2,3,3,4,3,4,3,3,4,4,3,4,2,4,3,3,2,5,5,4,3,5,Boy,Good Job,3,4,5,4,3,4,5,4,4,Manjunathajkshim.blogspot.in,3,,4,4,4,1,4,3,Rice,3,3,3,5,BCom,,
88,2014/11/18 6:39:46 PM GMT+5:30,3,Autobiography of APJ Abdul Kalam,3,4,4,No it applies for whole world,1,3,1,5,3,,3,1,3,4,3,4,5,4,5,3,3,4,3,3,3,2,5,3,3,4,3,3,5,Girl,Good Job,1,1,5,2,3,1,4,1,3,,1,,1,4,3,3,4,3,Rice and dal ,3,4,5,5,BBM,,
89,2014/11/18 7:36:05 PM GMT+5:30,5,"Who moved my cheese
You can win
The power of now
India 2020",5,3,5,Yes. It has to be adapted because women in this part of the world certainly need to be provided with basic rights and equal opportunities.,5,2,4,2,4,"Amar chitra katha
Baalamangala (Kannada)",4,2,5,5,5,3,4,5,5,2,5,3,2,5,4,2,3,1,4,5,3,4,4,Boy,Good Job,4,5,5,4,3,4,4,3,4,natarajvs.blogspot.com,2,,2,4,4,2,5,4,Dosa,5,4,3,5,BSc,,
90,2014/11/18 8:36:25 PM GMT+5:30,4,,5,3,3,,4,3,4,4,3,,3,3,5,5,5,2,2,3,3,4,5,3,4,3,5,3,4,3,3,5,5,5,4,Boy,Good Job,3,4,3,4,4,4,3,3,4,,3,,4,4,4,4,4,4,"Curd, dosa
",4,3,3,4,BCom,,
91,2014/11/18 9:25:37 PM GMT+5:30,3,Wise and otherwise,2,4,2,,3,4,5,3,4,Tinkle and DC,4,2,3,5,4,3,1,1,3,4,2,2,3,4,3,5,3,3,4,3,4,4,3,Boy,Start my business,3,1,1,4,3,2,3,3,4,sugamshetty@blogspot.in,2,,4,5,5,3,4,3,,4,4,3,3,BBM,,
92,2014/11/18 9:46:12 PM GMT+5:30,5,"Five point some one
Durgastamana",4,4,2,Yes equality is required in West because it will help India to turn from a developing country into a developed country,4,4,5,2,4,"Chandamama
Halavu kaamidigalu",4,1,5,5,4,2,2,4,3,4,4,3,3,4,2,2,3,4,4,5,3,3,5,Boy,Good Job,4,4,5,5,3,4,5,4,4,ranju1992.blogspot.com,1,,2,2,4,2,4,5,Chicken.egg fry,4,4,4,5,BBM,,
93,2014/11/18 10:37:05 PM GMT+5:30,3,The monk who sold his Ferrari by Robin Sharma,3,4,5,"I do not agree to the above mentioned statement. It is a duty of all religion and cultures to treat both the genders equally as both of them are created by one creator so that we can live together hence, my thought is that the whole world should treat everyone equally let it be personal or professionals life all are equal all are humans. ",1,3,5,2,5,"Archies, Tintin, Asterix & Obelix, Goosebumps, Marvel, DC, Tinkle and Amar Chitra Katha.",5,1,5,5,5,4,1,3,3,5,5,5,3,5,5,3,3,1,4,2,5,3,5,Boy,,4,1,2,5,1,3,5,3,3,,,,2,5,5,1,5,5,"Bread butter jam, corn flakes, fruits and idli",5,5,1,5,BBM,,
94,2014/11/18 10:46:07 PM GMT+5:30,4,,4,3,3,,5,4,3,3,3,,3,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,5,3,3,2,Boy,Good Job,3,1,1,3,4,3,3,3,3,pawanmangalore.blogspot.in/,1,,3,4,3,3,3,3,,4,4,1,4,BCom,,
95,2014/11/19 7:46:13 AM GMT+5:30,2,I prefer reading articles in business line and other newspapers I come across rather than books.,1,3,1,Gender equality has nothing to do with east or west. I treat everyone as equal and treating one gender as special for the reason they have been discriminated in the past is not the answer.,2,1,4,1,5,Tinkle is one comic I always used to read. Now I would like to read Spiderman comics but I don't find time for these. I wish there was an Android app which sells free comics in app store.,5,3,4,5,1,3,2,2,4,4,1,1,3,5,2,1,3,2,5,5,2,3,3,Boy,Start my business,4,1,1,5,1,5,5,2,5,rahulshetty123@blogspot.in,1,,,,5,2,,2,Boiled egg,5,2,5,5,BBM,,
96,2014/11/19 8:00:52 AM GMT+5:30,4,you can win,3,4,5,It should be for all,1,3,2,4,3,All the above,2,2,3,4,5,5,5,1,4,4,1,5,5,5,5,4,4,4,5,5,3,3,5,Girl,Good Job,4,1,5,4,3,2,2,1,4,Indian Food,1,,4,3,2,3,4,1,We dont get good food in college,5,3,2,4,BBM,,
97,2014/11/19 1:17:53 PM GMT+5:30,2,,4,3,1,,5,3,1,3,1,,3,5,2,3,4,5,5,4,2,3,1,1,5,4,5,5,,5,5,5,1,5,3,Boy,Good Job,3,4,5,3,4,5,1,4,5,,5,,2,4,5,4,5,4,Chicken,3,3,5,5,BCom,,
98,2014/11/19 6:34:58 PM GMT+5:30,5,Stay hungry stay Polish,3,2,2,,3,2,2,3,5,,4,2,5,5,5,2,3,5,2,4,5,5,5,4,5,5,5,2,5,5,5,5,5,Boy,Start my business,2,5,5,5,3,4,5,5,5,,2,,2,3,5,2,5,5,,5,5,2,3,BCom,,
99,2014/11/19 6:45:31 PM GMT+5:30,3,"The One Minute Manager 
By Men Blenchard & Spencher Johnson.
Stay Foolish Stay Strong
By Rashmi Bansal",4,2,3,,5,3,3,5,4,"Super Man Returns
Spider Man
Captain Planet",3,2,4,5,3,4,4,3,3,4,4,2,4,2,4,3,4,3,4,5,4,3,4,Boy,Good Job,4,2,3,4,4,4,4,4,4,life Behind Lence,3,,3,3,4,2,4,5,"Chicken, dosa",5,5,2,5,BCom,,
100,2014/11/19 7:22:18 PM GMT+5:30,5,"wings of fire,The white Tiger.",5,5,5,no,1,3,1,1,5,amar chitra katha,5,1,5,5,5,1,1,5,5,5,5,1,1,5,5,5,5,1,5,5,5,5,5,Boy,Start my business,5,5,5,4,5,5,1,4,4,,,,5,5,5,1,5,1,dosa,1,5,1,5,BCom,,
101,2014/11/19 7:32:08 PM GMT+5:30,4,,,2,4,,3,3,5,5,3,,1,1,4,4,4,3,1,1,3,5,2,4,4,5,4,3,5,3,5,5,3,3,1,Boy,Start my business,3,1,1,4,3,5,1,3,4,,1,,4,1,4,3,3,4,"rice
",5,4,3,5,BBM,,
102,2014/11/19 9:29:35 PM GMT+5:30,4,The Monk Who Sold His Ferrari,2,2,3,No,2,1,3,2,2,Tinkle,2,3,3,4,4,4,4,4,2,4,3,4,5,4,2,3,2,3,3,5,3,2,4,Girl,Good Job,1,5,2,2,3,4,4,4,4,ashycyber.blogspot.in,4,,4,4,5,4,3,2,dosa,4,4,5,4,Engg,,
103,2014/11/19 10:55:06 PM GMT+5:30,2,"Both reading and practical is important ,I love to read Novels ,Historical books, story books etc",2,3,5,,1,1,2,4,2,,4,4,5,4,5,4,2,4,4,2,4,4,2,4,2,2,4,2,4,5,2,4,2,Girl,Start my business,4,2,2,2,2,4,2,3,4,,,,2,4,4,2,4,2,"rice, chicken,curd, egg fry ,dosa",4,4,2,5,BBM,,
104,2014/11/20 9:29:06 AM GMT+5:30,1,,1,1,3,,5,3,1,5,3,,1,3,5,5,5,3,3,5,1,5,5,3,1,5,5,3,3,3,5,5,5,3,3,Girl,Good Job,3,5,5,5,3,3,5,3,5,,1,,3,3,5,3,5,3,,1,5,5,5,BCom,,
105,2014/11/20 9:40:21 AM GMT+5:30,5,Alice in wonderland,1,5,5,,1,3,3,3,5,Amar chitra katha,1,1,5,,5,5,1,5,1,5,5,5,1,5,5,1,5,1,5,5,5,5,5,Girl,Good Job,5,5,5,1,1,,1,1,5,,1,,1,3,5,1,5,3,"roti, chicken",5,5,1,5,BBM,,
